Ref,Val,Package,PosX,PosY,Rot,Side
"D2","CLMVC-FKA-CL1D1L71BB7C3C3","LED_Cree-PLCC4_2x2mm_CW",-0.670800,6.386500,270.000000,bottom
"P1","TouchPAD_WE_3029040030030","WE-SMGS_3029040030025",-6.910800,-2.468500,90.000000,bottom
"P2","TouchPAD_WE_3029040030030","WE-SMGS_3029040030025",-6.910800,2.291500,270.000000,bottom
